index,name,date_of_birth,height,weight,spike,block,position_number,country
77,Kitania Medina Torres,24/02/1999,186,77,308,295,4,31
78,Ailama Cese Montalvo,29/10/2000,188,58,322,308,2,31
79,Liset Herrera Blanco,06/12/1998,192,70,311,300,3,31
80,Anaila Martinez Chaviano,20/03/1999,184,70,320,310,1,31
81,Carmela Massip Mursuli,17/01/1998,181,65,304,295,2,31
82,Sonia Beatriz Romero Espinosa,02/08/1997,183,70,301,288,1,31
83,Anet Alfonso Benitez,26/06/1996,172,54,225,222,4,31
84,Haiping Sun,23/05/1996,180,65,300,292,1,5
85,Mingyuan Hu,17/05/1996,187,69,305,297,3,5
86,Zixuan Meng,18/11/1996,180,62,298,290,6,5
87,Ye Jin,01/03/1996,187,77,310,302,2,5
88,Qingqing Du,18/12/1996,189,72,312,300,2,5
89,Qian Zhang,20/02/1997,193,70,313,302,3,5
90,Jiayi Huang,16/08/1996,173,60,285,275,6,5
91,Wanqianbai Rong,01/01/1997,184,75,304,297,1,5
92,Yuanyuan Wang,14/07/1997,195,75,312,300,3,5
93,Xiangyu Gong,21/04/1997,186,72,313,302,4,5
94,Xinyi Zhou,17/03/1997,187,69,307,300,2,5
95,Yi Yang,19/03/1997,184,70,308,300,4,5
96,Mayar Mohamed,05/02/2000,186,78,288,279,3,29
97,Mai Moustafa,01/10/1996,175,63,280,269,2,29
98,Salma Mahmoud,04/02/1999,175,56,278,266,2,29
99,Nourallah Amin,25/11/2000,184,70,285,276,3,29
100,Malak Badawy,17/06/1996,175,64,273,289,4,29
101,Mariam Ebrahim,13/03/1997,167,63,273,261,1,29
102,Rahma Almohandes,09/11/1996,175,63,277,265,2,29
103,Yasmin Hussein,11/01/1997,175,74,188,178,2,29
104,Hend Farag,29/09/1997,186,68,277,272,3,29
105,Icel Nadim,19/02/1996,162,52,253,267,6,29
106,Jailan Tawfik,12/06/1997,175,65,292,279,4,29
107,Rania Ashmawy,20/02/1996,174,67,273,264,1,29
108,Diana De La Peña,07/06/1999,187,60,294,295,3,30
109,Nair Canessa,04/06/1997,185,70,295,298,3,30
110,Nicole Abreu Erquinigo,27/03/1999,180,63,285,270,2,30
111,Cristina Cuba,04/06/1996,176,65,280,275,1,30
112,Shiamara Almeida,19/02/1996,172,62,286,275,1,30
113,Maguilaura Frias,28/05/1997,186,71,291,280,4,30
114,Katherine Regalado,11/03/1998,190,66,296,287,4,30
115,Rosa Valiente,26/06/1996,183,60,290,295,3,30
116,Angela Leyva,22/11/1996,184,70,312,291,2,30
117,Yomira Villacorta,11/01/1996,164,61,265,250,6,30
118,Dayana Rojas,09/10/1997,160,55,178,180,2,30
119,Coraima Gomez,09/08/1996,179,70,300,285,2,30
120,Ilaria Bonvicini,28/02/1997,160,52,261,243,2,15
121,Carlotta Cambi,28/05/1996,177,66,302,292,1,15
122,Sofia D'odorico,06/01/1997,187,78,312,302,2,15
123,Alessia Orro,18/07/1998,180,74,308,231,1,15
124,Sara Bonifacio,03/07/1996,188,76,320,300,3,15
125,Anna Danesi,20/04/1996,195,75,312,246,3,15
126,Anastasia Guerra,15/10/1996,187,80,314,239,2,15
127,Chiara De Bortoli,28/07/1997,180,68,302,286,6,15
128,Paola Ogechi Egonu,18/12/1998,190,70,336,256,4,15
129,Beatrice Berti,12/01/1996,193,87,304,288,3,15
130,Anna Nicoletti,03/01/1996,193,86,306,290,4,15
131,Elisa Zanette,17/02/1996,193,86,304,288,4,15
132,Melis Yilmaz,28/06/1997,165,52,260,259,6,26
133,Cansu Ozbay,17/10/1996,182,75,285,284,1,26
134,Ayca Aykac,27/02/1996,176,54,280,279,6,26
135,Rida Erlalelitepe,22/07/1996,183,70,293,290,2,26
136,Ada Germen,24/06/1997,182,62,285,283,2,26
137,Zehra Gunes,07/07/1999,194,82,309,255,3,26
138,Humay Topaloglu,03/08/1996,180,63,295,293,2,26
139,Yagmur Mislina Kilic,30/03/1996,189,66,283,280,2,26
140,Cemre Janset Erkul,12/01/1997,184,65,298,295,3,26
141,Arelya Karasoy,14/12/1996,181,73,287,280,1,26
142,Arelya Karasoy,14/12/1996,181,73,287,280,1,26
143,Su Zent,25/03/1996,184,70,305,303,3,26
144,Angelina Lazarenko,13/04/1998,193,80,320,305,3,23
145,Svetlana Serbina,15/05/1996,182,71,295,284,1,23
146,Ekaterina Shkurikhina,17/06/1996,190,72,306,296,2,23
147,Kristina Kurnosova,17/06/1997,176,62,288,278,6,23
148,Ekaterina Novikova,07/12/1996,181,70,290,275,1,23
149,Victoria Zhurbenko,17/03/1996,186,67,306,297,3,23
150,Angelina Sperskaite,11/02/1997,188,72,305,295,2,23
151,Anastasiia Barchuk,09/02/1996,187,78,305,297,3,23
152,Anastasiia Cheremisina,14/01/1996,187,80,305,298,2,23
153,Anna Lazareva,31/01/1997,190,67,315,300,4,23
154,Tatiana Iurinskaia,25/01/1996,195,69,305,275,2,23
155,Sabina Gilfanova,14/02/1996,187,79,300,296,4,23
156,Drussyla Costa,01/07/1996,182,73,304,286,2,10
157,Lana Conceição,08/12/1996,175,72,292,281,2,10
158,Ariane Pinto,27/01/1997,191,79,291,284,4,10
159,Laiza Ferreira,18/02/1996,181,71,301,285,3,10
